# schema=range-replay-coalescing/v1
# complete=true
# cache_condition=warm_after_one_warmup_per_row
# timing=backend_execute_project_and_drop
# data_file=/tmp/range-replay-vps.1fRZZs/data-2g.bin
# data_file_bytes=2147483648
# required_data_bytes=536866816
# useful_bytes=268435456
# useful_block_bytes=4096
# gap_bytes=4096
# grouped_blocks=16
# shared_byte_budget=2031616
# warmups_per_row=1
# measured_repetitions=8
# clock_ticks_per_second=100
backend	submitted_depth	layout	phase	repetition	useful_block_bytes	gap_bytes	blocks_per_physical_read	read_size_bytes	byte_budget_bytes	useful_bytes	physical_bytes	overread_bytes	physical_operations	elapsed_ns	user_cpu_ticks	system_cpu_ticks	cpu_ns	useful_throughput_bytes_per_second	physical_throughput_bytes_per_second	useful_sha256	bytes_equal_to_reference
pread	1	separate_4k	warmup	0	4096	4096	1	4096	2031616	268435456	268435456	0	65536	12523174627	1158	94	12520000000	21435096	21435096	02699e97191473dd9b3f8c0cdf63b91d6fb70ae2fdf872f3c54fa6b00b8a6e8b	true
pread	1	grouped_16	warmup	0	4096	4096	16	126976	2031616	268435456	520093696	251658240	4096	1656034063	17	149	1660000000	162095371	314059781	02699e97191473dd9b3f8c0cdf63b91d6fb70ae2fdf872f3c54fa6b00b8a6e8b	true
io_uring	1	separate_4k	warmup	0	4096	4096	1	4096	2031616	268435456	268435456	0	65536	7351362316	667	68	7350000000	36515062	36515062	02699e97191473dd9b3f8c0cdf63b91d6fb70ae2fdf872f3c54fa6b00b8a6e8b	true
io_uring	1	grouped_16	warmup	0	4096	4096	16	126976	2031616	268435456	520093696	251658240	4096	1198956968	15	105	1200000000	223890817	433788459	02699e97191473dd9b3f8c0cdf63b91d6fb70ae2fdf872f3c54fa6b00b8a6e8b	true
pread	1	separate_4k	measured	1	4096	4096	1	4096	2031616	268435456	268435456	0	65536	12474331525	1166	81	12470000000	21519025	21519025	02699e97191473dd9b3f8c0cdf63b91d6fb70ae2fdf872f3c54fa6b00b8a6e8b	true
pread	1	grouped_16	measured	1	4096	4096	16	126976	2031616	268435456	520093696	251658240	4096	1540075492	19	134	1530000000	174300193	337706624	02699e97191473dd9b3f8c0cdf63b91d6fb70ae2fdf872f3c54fa6b00b8a6e8b	true
io_uring	1	separate_4k	measured	1	4096	4096	1	4096	2031616	268435456	268435456	0	65536	7905304732	699	91	7900000000	33956370	33956370	02699e97191473dd9b3f8c0cdf63b91d6fb70ae2fdf872f3c54fa6b00b8a6e8b	true
io_uring	1	grouped_16	measured	1	4096	4096	16	126976	2031616	268435456	520093696	251658240	4096	1228141667	16	108	1240000000	218570433	423480214	02699e97191473dd9b3f8c0cdf63b91d6fb70ae2fdf872f3c54fa6b00b8a6e8b	true
pread	1	grouped_16	measured	2	4096	4096	16	126976	2031616	268435456	520093696	251658240	4096	1208349591	20	101	1210000000	222150491	430416578	02699e97191473dd9b3f8c0cdf63b91d6fb70ae2fdf872f3c54fa6b00b8a6e8b	true
io_uring	1	separate_4k	measured	2	4096	4096	1	4096	2031616	268435456	268435456	0	65536	9309383836	826	104	9300000000	28834932	28834932	02699e97191473dd9b3f8c0cdf63b91d6fb70ae2fdf872f3c54fa6b00b8a6e8b	true
io_uring	1	grouped_16	measured	2	4096	4096	16	126976	2031616	268435456	520093696	251658240	4096	1347972414	21	114	1350000000	199140170	385834079	02699e97191473dd9b3f8c0cdf63b91d6fb70ae2fdf872f3c54fa6b00b8a6e8b	true
pread	1	separate_4k	measured	2	4096	4096	1	4096	2031616	268435456	268435456	0	65536	14040690801	1326	77	14030000000	19118393	19118393	02699e97191473dd9b3f8c0cdf63b91d6fb70ae2fdf872f3c54fa6b00b8a6e8b	true
io_uring	1	separate_4k	measured	3	4096	4096	1	4096	2031616	268435456	268435456	0	65536	7901008514	697	93	7900000000	33974834	33974834	02699e97191473dd9b3f8c0cdf63b91d6fb70ae2fdf872f3c54fa6b00b8a6e8b	true
io_uring	1	grouped_16	measured	3	4096	4096	16	126976	2031616	268435456	520093696	251658240	4096	1267175125	17	110	1270000000	211837693	410435531	02699e97191473dd9b3f8c0cdf63b91d6fb70ae2fdf872f3c54fa6b00b8a6e8b	true
pread	1	separate_4k	measured	3	4096	4096	1	4096	2031616	268435456	268435456	0	65536	12794838952	1209	70	12790000000	20979979	20979979	02699e97191473dd9b3f8c0cdf63b91d6fb70ae2fdf872f3c54fa6b00b8a6e8b	true
pread	1	grouped_16	measured	3	4096	4096	16	126976	2031616	268435456	520093696	251658240	4096	1187343210	18	101	1190000000	226080760	438031473	02699e97191473dd9b3f8c0cdf63b91d6fb70ae2fdf872f3c54fa6b00b8a6e8b	true
io_uring	1	grouped_16	measured	4	4096	4096	16	126976	2031616	268435456	520093696	251658240	4096	1037184399	18	86	1040000000	258811698	501447665	02699e97191473dd9b3f8c0cdf63b91d6fb70ae2fdf872f3c54fa6b00b8a6e8b	true
pread	1	separate_4k	measured	4	4096	4096	1	4096	2031616	268435456	268435456	0	65536	12966627619	1221	76	12970000000	20702025	20702025	02699e97191473dd9b3f8c0cdf63b91d6fb70ae2fdf872f3c54fa6b00b8a6e8b	true
pread	1	grouped_16	measured	4	4096	4096	16	126976	2031616	268435456	520093696	251658240	4096	1216070138	16	105	1210000000	220740109	427683963	02699e97191473dd9b3f8c0cdf63b91d6fb70ae2fdf872f3c54fa6b00b8a6e8b	true
io_uring	1	separate_4k	measured	4	4096	4096	1	4096	2031616	268435456	268435456	0	65536	10228122719	902	121	10230000000	26244841	26244841	02699e97191473dd9b3f8c0cdf63b91d6fb70ae2fdf872f3c54fa6b00b8a6e8b	true
pread	1	separate_4k	measured	5	4096	4096	1	4096	2031616	268435456	268435456	0	65536	13336870395	1246	88	13340000000	20127319	20127319	02699e97191473dd9b3f8c0cdf63b91d6fb70ae2fdf872f3c54fa6b00b8a6e8b	true
pread	1	grouped_16	measured	5	4096	4096	16	126976	2031616	268435456	520093696	251658240	4096	1286508892	19	110	1290000000	208654178	404267470	02699e97191473dd9b3f8c0cdf63b91d6fb70ae2fdf872f3c54fa6b00b8a6e8b	true
io_uring	1	separate_4k	measured	5	4096	4096	1	4096	2031616	268435456	268435456	0	65536	7777169861	698	80	7780000000	34515827	34515827	02699e97191473dd9b3f8c0cdf63b91d6fb70ae2fdf872f3c54fa6b00b8a6e8b	true
io_uring	1	grouped_16	measured	5	4096	4096	16	126976	2031616	268435456	520093696	251658240	4096	1296885310	18	112	1300000000	206984730	401032914	02699e97191473dd9b3f8c0cdf63b91d6fb70ae2fdf872f3c54fa6b00b8a6e8b	true
pread	1	grouped_16	measured	6	4096	4096	16	126976	2031616	268435456	520093696	251658240	4096	1186592545	20	100	1200000000	226223784	438308582	02699e97191473dd9b3f8c0cdf63b91d6fb70ae2fdf872f3c54fa6b00b8a6e8b	true
io_uring	1	separate_4k	measured	6	4096	4096	1	4096	2031616	268435456	268435456	0	65536	7798480081	697	83	7800000000	34421509	34421509	02699e97191473dd9b3f8c0cdf63b91d6fb70ae2fdf872f3c54fa6b00b8a6e8b	true
io_uring	1	grouped_16	measured	6	4096	4096	16	126976	2031616	268435456	520093696	251658240	4096	1259688213	14	112	1260000000	213096743	412874940	02699e97191473dd9b3f8c0cdf63b91d6fb70ae2fdf872f3c54fa6b00b8a6e8b	true
pread	1	separate_4k	measured	6	4096	4096	1	4096	2031616	268435456	268435456	0	65536	12704571405	1194	76	12700000000	21129044	21129044	02699e97191473dd9b3f8c0cdf63b91d6fb70ae2fdf872f3c54fa6b00b8a6e8b	true
io_uring	1	separate_4k	measured	7	4096	4096	1	4096	2031616	268435456	268435456	0	65536	9062492942	792	114	9060000000	29620487	29620487	02699e97191473dd9b3f8c0cdf63b91d6fb70ae2fdf872f3c54fa6b00b8a6e8b	true
io_uring	1	grouped_16	measured	7	4096	4096	16	126976	2031616	268435456	520093696	251658240	4096	1204394531	16	104	1200000000	222880002	431830004	02699e97191473dd9b3f8c0cdf63b91d6fb70ae2fdf872f3c54fa6b00b8a6e8b	true
pread	1	separate_4k	measured	7	4096	4096	1	4096	2031616	268435456	268435456	0	65536	15035058648	1430	73	15030000000	17853968	17853968	02699e97191473dd9b3f8c0cdf63b91d6fb70ae2fdf872f3c54fa6b00b8a6e8b	true
pread	1	grouped_16	measured	7	4096	4096	16	126976	2031616	268435456	520093696	251658240	4096	1218087461	17	105	1220000000	220374533	426975658	02699e97191473dd9b3f8c0cdf63b91d6fb70ae2fdf872f3c54fa6b00b8a6e8b	true
io_uring	1	grouped_16	measured	8	4096	4096	16	126976	2031616	268435456	520093696	251658240	4096	1015348420	15	87	1020000000	264377676	512231747	02699e97191473dd9b3f8c0cdf63b91d6fb70ae2fdf872f3c54fa6b00b8a6e8b	true
pread	1	separate_4k	measured	8	4096	4096	1	4096	2031616	268435456	268435456	0	65536	12123755240	1140	72	12120000000	22141279	22141279	02699e97191473dd9b3f8c0cdf63b91d6fb70ae2fdf872f3c54fa6b00b8a6e8b	true
pread	1	grouped_16	measured	8	4096	4096	16	126976	2031616	268435456	520093696	251658240	4096	1368988986	19	117	1360000000	196082991	379910796	02699e97191473dd9b3f8c0cdf63b91d6fb70ae2fdf872f3c54fa6b00b8a6e8b	true
io_uring	1	separate_4k	measured	8	4096	4096	1	4096	2031616	268435456	268435456	0	65536	7887480448	707	81	7880000000	34033105	34033105	02699e97191473dd9b3f8c0cdf63b91d6fb70ae2fdf872f3c54fa6b00b8a6e8b	true
