# schema=range-replay-measurement/v1
# complete=true
# cache_condition=warm_after_one_warmup_per_row
# data_file=/tmp/range-replay-vps.1fRZZs/data-2g.bin
# data_file_bytes=2147483648
# required_data_bytes=805502975
# logical_bytes_per_workload=268435456
# warmups_per_row=1
# measured_repetitions=8
# max_byte_budget_depth=16
# clock_ticks_per_second=100
workload	pattern	backend	submitted_depth	phase	repetition	logical_range_bytes	read_size_bytes	byte_budget_bytes	logical_bytes	physical_bytes	physical_operations	elapsed_ns	user_cpu_ticks	system_cpu_ticks	cpu_ns	throughput_bytes_per_second	output_sha256	bytes_equal_to_pread
sequential_4k	mostly_sequential	pread	1	warmup	0	4096	4096	65536	268435456	268435456	65536	13688244053	1327	42	13690000000	19610656	7b65eec1ea0999a2c529a7c855c0d8223a23dd4c377fe818d7b6a6a666a83768	true
sequential_4k	mostly_sequential	io_uring	1	warmup	0	4096	4096	65536	268435456	268435456	65536	9301990434	838	92	9300000000	28857851	7b65eec1ea0999a2c529a7c855c0d8223a23dd4c377fe818d7b6a6a666a83768	true
sequential_4k	mostly_sequential	io_uring	4	warmup	0	4096	4096	65536	268435456	268435456	65536	8035977830	759	44	8030000000	33404205	7b65eec1ea0999a2c529a7c855c0d8223a23dd4c377fe818d7b6a6a666a83768	true
sequential_4k	mostly_sequential	io_uring	16	warmup	0	4096	4096	65536	268435456	268435456	65536	7894825127	738	51	7890000000	34001444	7b65eec1ea0999a2c529a7c855c0d8223a23dd4c377fe818d7b6a6a666a83768	true
sequential_4k	mostly_sequential	pread	1	measured	1	4096	4096	65536	268435456	268435456	65536	13286967758	1287	41	13280000000	20202913	7b65eec1ea0999a2c529a7c855c0d8223a23dd4c377fe818d7b6a6a666a83768	true
sequential_4k	mostly_sequential	io_uring	1	measured	1	4096	4096	65536	268435456	268435456	65536	7213555102	695	27	7220000000	37212643	7b65eec1ea0999a2c529a7c855c0d8223a23dd4c377fe818d7b6a6a666a83768	true
sequential_4k	mostly_sequential	io_uring	4	measured	1	4096	4096	65536	268435456	268435456	65536	7660258640	741	24	7650000000	35042609	7b65eec1ea0999a2c529a7c855c0d8223a23dd4c377fe818d7b6a6a666a83768	true
sequential_4k	mostly_sequential	io_uring	16	measured	1	4096	4096	65536	268435456	268435456	65536	8759100565	844	32	8760000000	30646463	7b65eec1ea0999a2c529a7c855c0d8223a23dd4c377fe818d7b6a6a666a83768	true
sequential_4k	mostly_sequential	io_uring	1	measured	2	4096	4096	65536	268435456	268435456	65536	8174640921	789	28	8170000000	32837583	7b65eec1ea0999a2c529a7c855c0d8223a23dd4c377fe818d7b6a6a666a83768	true
sequential_4k	mostly_sequential	io_uring	4	measured	2	4096	4096	65536	268435456	268435456	65536	8103057235	783	28	8110000000	33127676	7b65eec1ea0999a2c529a7c855c0d8223a23dd4c377fe818d7b6a6a666a83768	true
sequential_4k	mostly_sequential	io_uring	16	measured	2	4096	4096	65536	268435456	268435456	65536	7363777672	712	24	7360000000	36453498	7b65eec1ea0999a2c529a7c855c0d8223a23dd4c377fe818d7b6a6a666a83768	true
sequential_4k	mostly_sequential	pread	1	measured	2	4096	4096	65536	268435456	268435456	65536	13110746157	1290	20	13100000000	20474460	7b65eec1ea0999a2c529a7c855c0d8223a23dd4c377fe818d7b6a6a666a83768	true
sequential_4k	mostly_sequential	io_uring	4	measured	3	4096	4096	65536	268435456	268435456	65536	7225310802	697	26	7230000000	37152098	7b65eec1ea0999a2c529a7c855c0d8223a23dd4c377fe818d7b6a6a666a83768	true
sequential_4k	mostly_sequential	io_uring	16	measured	3	4096	4096	65536	268435456	268435456	65536	7075362281	682	25	7070000000	37939464	7b65eec1ea0999a2c529a7c855c0d8223a23dd4c377fe818d7b6a6a666a83768	true
sequential_4k	mostly_sequential	pread	1	measured	3	4096	4096	65536	268435456	268435456	65536	14857694179	1462	24	14860000000	18067100	7b65eec1ea0999a2c529a7c855c0d8223a23dd4c377fe818d7b6a6a666a83768	true
sequential_4k	mostly_sequential	io_uring	1	measured	3	4096	4096	65536	268435456	268435456	65536	8069414459	778	29	8070000000	33265791	7b65eec1ea0999a2c529a7c855c0d8223a23dd4c377fe818d7b6a6a666a83768	true
sequential_4k	mostly_sequential	io_uring	16	measured	4	4096	4096	65536	268435456	268435456	65536	7332749052	706	27	7330000000	36607751	7b65eec1ea0999a2c529a7c855c0d8223a23dd4c377fe818d7b6a6a666a83768	true
sequential_4k	mostly_sequential	pread	1	measured	4	4096	4096	65536	268435456	268435456	65536	12508549115	1232	18	12500000000	21460159	7b65eec1ea0999a2c529a7c855c0d8223a23dd4c377fe818d7b6a6a666a83768	true
sequential_4k	mostly_sequential	io_uring	1	measured	4	4096	4096	65536	268435456	268435456	65536	7100544172	682	28	7100000000	37804913	7b65eec1ea0999a2c529a7c855c0d8223a23dd4c377fe818d7b6a6a666a83768	true
